fips_code,name,state,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019
22097,St. Landry Parish,LA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22099,St. Martin Parish,LA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22101,St. Mary Parish,LA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22103,St. Tammany Parish,LA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22105,Tangipahoa Parish,LA,121485,122700,123646,125520,127010,128716,130619,132353,133837,134758
22107,Tensas Parish,LA,5229,5092,4999,4933,4853,4772,4656,4574,4470,4334
22109,Terrebonne Parish,LA,111506,111635,111708,112707,113482,113817,113006,111823,111163,110461
22111,Union Parish,LA,22833,22757,22520,22454,22558,22487,22528,22398,22243,22108
22113,Vermilion Parish,LA,58085,58198,58636,59284,59534,59918,60074,59936,59886,59511
22115,Vernon Parish,LA,52742,52270,54120,52815,52816,51431,51481,49789,48101,47429
22117,Washington Parish,LA,47089,47127,46676,46407,46319,46358,46387,46649,46588,46194
22119,Webster Parish,LA,41199,41244,40908,40660,40285,40061,39751,39264,38792,38340
22121,West Baton Rouge Parish,LA,23951,24109,24149,24654,25192,25554,25901,26184,26400,26465
22123,West Carroll Parish,LA,11576,11520,11499,11453,11526,11287,11136,10974,10977,10830
22125,West Feliciana Parish,LA,15641,15517,15476,15462,15379,15383,15327,15371,15492,15568
22127,Winn Parish,LA,15303,15151,15102,14849,14819,14642,14532,14350,14138,13904
23001,Androscoggin County,ME,107708,107439,107486,107223,107358,107124,107296,107399,107914,108277
23003,Aroostook County,ME,71699,71388,70767,70064,69520,68818,68243,67609,67318,67055
23005,Cumberland County,ME,11053,11080,10950,10904,10923,10860,10868,10880,10804,10766
23007,Franklin County,ME,31746,31776,31690,31553,31559,31515,31611,31542,31298,31362
23009,Hancock County,ME,9433,9395,9079,8952,8571,8578,8633,8539,8368,8457
23011,Kennebec County,ME,122076,121792,121591,121139,121233,121010,121497,121913,122044,122302
23013,Knox County,ME,52912,52705,52302,52129,51944,51370,50917,50577,49978,49699
23015,Lincoln County,ME,14089,14339,14180,14063,14025,13866,13728,13475,13184,13024
23017,Oxford County,ME,57779,57763,57473,57397,57323,57164,57322,57534,57754,57975
23019,Penobscot County,ME,153861,153759,153347,153222,153201,151929,151333,151645,151817,152148
23021,Piscataquis County,ME,17550,17362,17265,17173,17038,16937,16910,16804,16746,16785
23023,Sagadahoc County,ME,35228,35121,35115,35021,35076,35120,35156,35436,35690,35856
23025,Somerset County,ME,52216,51930,51806,51698,51235,50729,50546,50351,50489,50484
23027,Waldo County,ME,38818,38857,38928,39025,39035,39120,39429,39772,39657,39715
23029,Washington County,ME,17626,17355,17146,16897,16868,16832,16621,16522,16402,16326
23031,York County,ME,197209,198240,198872,199429,200827,201223,202565,204282,205869,207641
24001,Allegany County,MD,74965,74572,73947,73576,73020,72462,72053,71352,70941,70416
24003,Anne Arundel County,MD,539284,544803,550333,555417,559142,563027,567254,571339,575523,579234
24005,Baltimore County,MD,806656,812961,818113,822274,824994,827533,828682,828645,827859,827370
24009,Calvert County,MD,88988,89327,89720,90444,90540,90477,91052,91435,92065,92525
24011,Caroline County,MD,33052,32887,32629,32642,32532,32595,32840,33096,33306,33406
24013,Carroll County,MD,27553,27466,27623,27791,27734,27755,27728,27865,28097,28380
24015,Cecil County,MD,101165,101567,101753,101887,102195,102382,102487,102394,102644,102855
24017,Charles County,MD,147159,149200,150668,152645,154359,155665,157292,159450,161476,163257
24019,Dorchester County,MD,32688,32699,32476,32555,32492,32419,32276,32105,31960,31929
24021,Frederick County,MD,234218,237284,239645,241129,243381,245001,246999,250622,254943,259547
24023,Garrett County,MD,30141,30151,29967,29965,29648,29426,29358,29242,29133,29014
24025,Harford County,MD,245237,246729,248566,248890,249314,249558,250370,251858,253882,255441
24027,Howard County,MD,13796,13816,13675,13543,13492,13336,13350,13365,13302,13202
24029,Kent County,MD,162956,165110,167297,169038,171456,173128,174542,176499,178540,180786
24031,Montgomery County,MD,229505,229189,228874,228190,227551,227279,227170,227265,226504,226486
24033,Prince George's County,MD,866419,874389,882490,890658,899686,906197,908501,909705,909619,909327
24035,Queen Anne's County,MD,47806,48262,48497,48517,48782,48984,49063,49586,50148,50381
24037,St. Mary's County,MD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24039,Somerset County,MD,52216,51930,51806,51698,51235,50729,50546,50351,50489,50484
24041,Talbot County,MD,6880,6850,6640,6554,6534,6498,6366,6256,6290,6195
24043,Washington County,MD,17626,17355,17146,16897,16868,16832,16621,16522,16402,16326
24045,Wicomico County,MD,98972,100066,100562,100850,101360,101747,102041,102252,103044,103609
24047,Worcester County,MD,51500,51507,51581,51551,51572,51456,51475,51659,51960,52276
24510,Baltimore city,MD,620915,620410,622895,622391,623587,622522,616226,610481,602443,593490
25001,Barnstable County,MA,215899,215356,214788,214518,214289,213877,213559,213581,213471,212990
25003,Berkshire County,MA,131317,130547,130284,129488,128856,127858,127067,126353,125901,124944
25005,Bristol County,MA,549166,549308,551120,552379,555090,556863,558070,560941,564092,565217
25007,Dukes County,MA,16572,16697,16829,17159,17297,17274,17315,17311,17329,17332
25009,Essex County,MA,745461,751507,757338,764563,771653,776865,779847,784453,788183,789034
25011,Franklin County,MA,31746,31776,31690,31553,31559,31515,31611,31542,31298,31362
25013,Hampden County,MA,464237,466171,466955,467747,469455,469113,467778,467705,468388,466372
25015,Hampshire County,MA,159329,160154,160419,160856,160918,160709,161404,161077,161139,160830
25017,Middlesex County,MA,165616,166174,165634,165329,164786,163724,163292,162942,162870,162436
25019,Nantucket County,MA,10168,10133,10313,10569,10839,10940,11100,11205,11198,11399
25021,Norfolk County,MA,673019,677782,682865,688345,692239,694502,697079,700599,703230,706775
25023,Plymouth County,MA,24975,24818,24830,24931,24911,24899,25180,25060,25024,25177
25025,Suffolk County,MA,725772,737141,751103,762488,773630,782591,792576,800806,803147,803907
25027,Worcester County,MA,51500,51507,51581,51551,51572,51456,51475,51659,51960,52276
26001,Alcona County,MI,10879,10743,10573,10554,10450,10330,10360,10309,10360,10405
26003,Alger County,MI,9580,9516,9451,9438,9362,9255,9129,9144,9118,9108
26005,Allegan County,MI,111523,111163,111499,112009,113349,114112,114979,116368,117173,118081
26007,Alpena County,MI,29510,29340,29166,28957,28882,28722,28663,28428,28384,28405
26009,Antrim County,MI,23491,23320,23245,23123,23147,23035,23079,23270,23323,23324
26011,Arenac County,MI,15852,15634,15502,15413,15319,15307,15138,15014,15008,14883
26013,Baraga County,MI,8861,8836,8726,8718,8650,8585,8546,8441,8324,8209
26015,Barry County,MI,59095,58923,59023,59090,59295,59426,59810,60682,61231,61550
26017,Bay County,MI,169206,169555,171757,174596,178289,181488,183634,184736,186240,174705
26019,Benzie County,MI,17505,17389,17328,17348,17473,17390,17534,17624,17761,17766
26021,Berrien County,MI,19361,19378,19160,19059,18813,18991,18996,19108,19266,19397
26023,Branch County,MI,45174,43923,43792,43587,43733,43639,43466,43375,43566,43517
26025,Calhoun County,MI,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605
26027,Cass County,MI,13633,13629,13427,13293,13081,12843,12672,12492,12312,12147
26029,Charlevoix County,MI,25935,26104,26190,26252,26213,26210,26190,26212,26187,26143
26031,Cheboygan County,MI,26062,25886,25743,25573,25638,25399,25455,25454,25504,25276
26033,Chippewa County,MI,38616,38890,38993,38569,38254,37973,37683,37679,37461,37349
26035,Clare County,MI,31006,31001,30796,30600,30730,30616,30387,30565,30735,30950
26037,Clinton County,MI,37843,38031,37918,37731,37646,37665,37599,37645,37697,37562
